id,longitude,latitude,neighborhood_id
77,-73.90334,40.75038,77
78,-73.97267,40.6932,16
79,-74.00197,40.74138,17
80,-73.96112,40.71154,15
81,-73.95136,40.82915,2
82,-73.98892,40.718509999999995,39
83,-73.96323000000001,40.65401,38
84,-73.98794000000001,40.7114,39
85,-73.99268000000001,40.69723,85
86,-73.95748,40.71833,15
87,-73.9844,40.72334,29
88,-73.98057,40.72912,29
89,-73.96218,40.71156,15
90,-73.9383,40.70032,37
91,-73.97261,40.68233,63
92,-73.96600000000001,40.68634,3
93,-73.97162,40.68035,63
94,-73.95775,40.70984,15
95,-73.92609,40.70093,37
96,-73.96177,40.79764,8
97,-73.94731,40.82803,2
98,-74.00271,40.74008,17
99,-73.92357,40.684129999999996,6
100,-73.95139,40.822790000000005,2
101,-74.00154,40.67967,101
102,-73.94281,40.83927,73
103,-74.00319,40.730959999999996,14
104,-73.94176999999999,40.71332,15
105,-73.98109000000001,40.66941,21
106,-73.92376999999999,40.68373,6
107,-73.94844,40.71459,15
108,-73.94421,40.8092,2
109,-73.98989,40.68157,109
110,-73.99291,40.75527,7
111,-73.96571999999999,40.68698,3
112,-73.98192,40.7288,29
113,-73.98912,40.66853,12
114,-73.98156999999999,40.7254,29
115,-73.98009,40.742940000000004,54
116,-73.95748,40.71942,15
117,-73.97636999999999,40.77823,8
118,-73.97965,40.72555,29
119,-73.98604,40.66831,12
120,-73.94919,40.82754,2
121,-73.97925,40.66499,12
122,-73.97556,40.778420000000004,8
123,-73.98527,40.72245,29
124,-73.96053,40.65593,45
125,-73.96468,40.719229999999996,15
126,-73.94821999999999,40.778,62
127,-73.93128,40.85879,73
128,-73.9547,40.68332,6
129,-73.94894000000001,40.816179999999996,2
130,-73.96351,40.68414,3
131,-73.99143000000001,40.72392,29
132,-73.9503,40.73494,32
133,-73.98855999999999,40.713409999999996,39
134,-73.98399,40.767540000000004,7
135,-74.00303000000001,40.73442,14
136,-73.93248,40.631879999999995,136
137,-73.9634,40.6873,3
138,-73.93661999999999,40.682959999999994,6
139,-73.96765,40.6863,3
140,-73.95348,40.73409,32
141,-73.94835,40.71561,15
142,-73.99183000000001,40.6857,142
143,-73.83168,40.74028,143
144,-73.93524000000001,40.682809999999996,6
145,-73.93938,40.715959999999995,15
146,-73.95935,40.71492,15
147,-73.98295,40.72354,29
148,-73.96087,40.71165,15
149,-73.97312,40.69101,16
150,-74.00101,40.73474,14
151,-73.96641,40.67386,63
152,-73.96056999999999,40.71536,15
153,-73.96595,40.6741,63
154,-73.93997,40.79295,4
155,-74.00401,40.73226,14
156,-73.96398,40.71363,15
157,-73.9527,40.77711,62
158,-73.98094,40.685590000000005,158
159,-73.95323,40.77456,62
160,-73.95055,40.710879999999996,15
161,-73.92313,40.74559,161
162,-73.94659,40.68306,6
163,-73.98571,40.70207,163
164,-73.9642,40.76123,62
165,-73.99083,40.66858,109
166,-73.94906999999999,40.827040000000004,2
167,-73.96408000000001,40.68843,3
168,-74.00135,40.6783,101
169,-74.08088000000001,40.64524,169
170,-73.91765,40.70641,37
171,-73.93184000000001,40.83232,171
172,-73.9677,40.71045,15
173,-73.98034,40.72518,29
174,-74.01374,40.70666,174
175,-73.97113,40.690979999999996,16
176,-74.00405,40.737559999999995,14
177,-73.94791,40.815259999999995,2
178,-74.0046,40.73423,14
179,-73.9373,40.82374,2
180,-73.97691,40.688629999999996,16
181,-73.89797,40.70382,181
182,-73.95924000000001,40.80549,182
183,-73.9587,40.71627,15
184,-73.97863000000001,40.67994,21
185,-73.9475,40.67992,6
186,-73.97306999999999,40.67868,63
187,-73.95334,40.76834,62
188,-73.9415,40.68237,6
189,-73.99999,40.74031,17
190,-73.99665,40.76307,7
191,-73.98852,40.71882,39
192,-73.98804,40.6693,12
193,-73.95199000000001,40.77333,62
194,-73.99201,40.72319,39
195,-73.99671,40.74859,17
196,-73.76597,40.67252,196
197,-73.99271,40.762440000000005,7
198,-73.93503,40.69546,6
199,-73.87856,40.717220000000005,199
200,-73.89816,40.70234,181
201,-73.87854,40.71546,199
202,-73.95976,40.7195,15
203,-73.98474,40.76548,7
204,-73.95603,40.80234,2
205,-73.97261999999999,40.6787,63
206,-73.94598,40.81035,2
207,-73.93058,40.83075,171
208,-73.94275,40.79958,4
209,-73.93845,40.71625,15
210,-73.93549,40.6829,6
211,-73.99134000000001,40.72773,211
212,-74.0049,40.728609999999996,14
213,-73.95161999999999,40.709790000000005,15
214,-73.97525,40.68656,16
215,-73.98432,40.72752,29
216,-73.95829,40.729,32
217,-73.94499,40.81219,2
218,-73.90502,40.77185,218
219,-73.99386,40.68926,142
220,-73.98701,40.72821,29
221,-73.98508000000001,40.7672,7
222,-73.99053,40.73012,29
223,-73.98498000000001,40.7403,223
224,-73.94343,40.809309999999996,2
225,-73.94287,40.8251,2
226,-73.98397,40.6585,25
227,-73.9501,40.76193,227
228,-73.98589,40.72052,39
229,-73.89934000000001,40.70411,181
230,-73.95966999999999,40.73401,32
