id,dbn,name,num_test_takers,reading_avg,math_avg,writing_score
356,21K525,EDWARD R. MURROW HIGH SCHOOL,727.0,468.0,496.0,467.0
357,21K540,JOHN DEWEY HIGH SCHOOL,448.0,404.0,468.0,390.0
358,21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,40.0,384.0,375.0,365.0
359,21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,40.0,353.0,370.0,356.0
360,21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,95.0,394.0,414.0,376.0
361,21K690,BROOKLYN STUDIO SECONDARY SCHOOL,119.0,429.0,449.0,435.0
362,21K728,LIBERATION DIPLOMA PLUS,10.0,411.0,369.0,373.0
363,22K405,MIDWOOD HIGH SCHOOL,824.0,478.0,519.0,476.0
364,22K425,JAMES MADISON HIGH SCHOOL,518.0,436.0,475.0,439.0
365,22K495,SHEEPSHEAD BAY HIGH SCHOOL,236.0,383.0,392.0,370.0
366,22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,259.0,524.0,561.0,542.0
367,22K555,BROOKLYN COLLEGE ACADEMY,131.0,456.0,456.0,440.0
368,23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,60.0,389.0,409.0,387.0
369,23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,55.0,361.0,371.0,359.0
370,23K643,BROOKLYN DEMOCRACY ACADEMY,11.0,349.0,338.0,331.0
371,23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,7.0,311.0,371.0,311.0
372,23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,17.0,350.0,346.0,332.0
373,23K697,TEACHERS PREPARATORY HIGH SCHOOL,69.0,392.0,416.0,388.0
374,24Q264,ACADEMY OF FINANCE AND ENTERPRISE,89.0,405.0,454.0,421.0
375,24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,39.0,406.0,413.0,400.0
376,24Q293,CIVIC LEADERSHIP ACADEMY,69.0,404.0,429.0,407.0
377,24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,55.0,317.0,323.0,311.0
378,24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,155.0,545.0,568.0,550.0
379,24Q455,NEWTOWN HIGH SCHOOL,320.0,383.0,440.0,380.0
380,24Q457,YOUNG ADULT BOROUGH CENTER AT ARTS AND BUSINESS HS,,,,
381,24Q485,GROVER CLEVELAND HIGH SCHOOL,241.0,395.0,420.0,396.0
382,24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,58.0,399.0,393.0,385.0
383,24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,69.0,326.0,409.0,329.0
384,24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,138.0,391.0,403.0,380.0
385,24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",80.0,443.0,447.0,440.0
386,24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,155.0,417.0,447.0,406.0
387,24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,396.0,445.0,496.0,423.0
388,24Q744,VOYAGES PREPARATORY,,,,
389,25Q252,"QUEENS SCHOOL OF INQUIRY, THE",58.0,455.0,498.0,443.0
390,25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,45.0,314.0,417.0,318.0
391,25Q281,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,59.0,416.0,463.0,392.0
392,25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,63.0,471.0,489.0,481.0
393,25Q425,JOHN BOWNE HIGH SCHOOL,558.0,397.0,451.0,395.0
394,25Q460,FLUSHING HIGH SCHOOL,347.0,393.0,441.0,382.0
395,25Q467,FLUSHING YABC,9.0,378.0,373.0,344.0
396,25Q525,TOWNSEND HARRIS HIGH SCHOOL,278.0,621.0,651.0,638.0
397,25Q540,QUEENS ACADEMY HIGH SCHOOL,17.0,398.0,382.0,388.0
398,25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,99.0,431.0,458.0,441.0
399,25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,7.0,379.0,421.0,377.0
400,26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,888.0,480.0,545.0,489.0
401,26Q430,FRANCIS LEWIS HIGH SCHOOL,934.0,468.0,539.0,467.0
402,26Q435,MARTIN VAN BUREN HIGH SCHOOL,334.0,391.0,397.0,384.0
403,26Q495,BAYSIDE HIGH SCHOOL,708.0,462.0,523.0,464.0
404,26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",175.0,425.0,434.0,420.0
405,27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,87.0,387.0,385.0,373.0
406,27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,74.0,432.0,419.0,401.0
407,27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",44.0,391.0,401.0,364.0
408,27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,93.0,423.0,426.0,416.0
409,27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,36.0,367.0,379.0,348.0
410,27Q323,SCHOLARS' ACADEMY,89.0,499.0,537.0,496.0
411,27Q400,AUGUST MARTIN HIGH SCHOOL,101.0,377.0,371.0,360.0
412,27Q410,BEACH CHANNEL HIGH SCHOOL,78.0,384.0,396.0,354.0
413,27Q475,RICHMOND HILL HIGH SCHOOL,404.0,382.0,404.0,368.0
414,27Q480,JOHN ADAMS HIGH SCHOOL,403.0,391.0,409.0,392.0
415,27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",194.0,429.0,491.0,425.0
416,28Q284,YORK EARLY COLLEGE ACADEMY,,,,
417,28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,68.0,420.0,445.0,400.0
418,28Q325,HILLSIDE ARTS & LETTERS ACADEMY,,,,
419,28Q338,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,6.0,403.0,408.0,367.0
420,28Q350,JAMAICA GATEWAY TO THE SCIENCES,25.0,430.0,452.0,425.0
421,28Q440,FOREST HILLS HIGH SCHOOL,762.0,456.0,497.0,454.0
422,28Q470,JAMAICA HIGH SCHOOL,90.0,342.0,368.0,353.0
423,28Q505,HILLCREST HIGH SCHOOL,462.0,395.0,413.0,386.0
424,28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,422.0,452.0,478.0,442.0
425,28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,99.0,513.0,523.0,502.0
426,28Q686,QUEENS METROPOLITAN HIGH SCHOOL,,,,
427,28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,121.0,612.0,660.0,596.0
428,28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,74.0,406.0,406.0,384.0
429,28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",68.0,439.0,445.0,432.0
430,29Q248,QUEENS PREPARATORY ACADEMY,52.0,360.0,380.0,359.0
431,29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,46.0,401.0,397.0,375.0
432,29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,49.0,402.0,398.0,402.0
433,29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,59.0,436.0,427.0,424.0
